part_no,part_name,model,customer,cav,cycle_time,weight_part,weight_runner,spq,type_material,grade_material,color_material,mold_id,machine_id,scrap_rate,changeover_min
PN-9835-A,Housing Outer,MDL-63,Yamaha Music,2,35.7,219.72,27.17,50,PC,PC-Standard,Black,MLD-767,MC-07 (450T),0.96,30
PN-6733-A,Panel Inner,MDL-19,LG Electronics,8,42.9,341.8,52.71,200,PC,PC-GP-100,Blue,MLD-552,MC-05 (250T),2.55,90
PN-3929-A,Housing Inner,MDL-10,Yamaha Music,16,21.7,43.59,3.62,50,PC,PC-V0-55,Red,MLD-448,MC-03 (110T),1.33,60
PN-5798-C,Cap Inner,MDL-49,LG Electronics,16,21.1,118.83,21.75,1000,POM,POM-GP-100,Red,MLD-836,MC-03 (110T),1.87,120
PN-2013-A,Gear Rear,MDL-54,Samsung,2,33.8,185.92,21.33,1000,PA6,PA6-GF-30,Grey,MLD-234,MC-03 (110T),1.45,30
PN-7320-A,Panel Inner,MDL-62,Yamaha Music,1,36.2,198.03,23.14,200,PP,PP-Standard,Black,MLD-209,MC-02 (80T),1.05,60
PN-4248-A,Lever Inner,MDL-96,LG Electronics,2,48.4,432.53,38.35,1000,PC,PC-GF-30,Blue,MLD-845,MC-05 (250T),1.43,60
PN-3245-A,Gear Inner,MDL-85,Astra Honda,8,58.5,388,28.06,100,PC,PC-V0-55,Blue,MLD-244,MC-07 (450T),1.26,90
PN-4215-A,Lever Outer,MDL-38,Yamaha Music,1,35.8,178.55,30.13,1000,PA6,PA6-HI-121,Grey,MLD-424,MC-03 (110T),1.54,120
PN-2215-B,Bracket Outer,MDL-18,Toyota Motor,8,42.7,293.64,16.37,50,PC,PC-GF-30,Natural,MLD-449,MC-08 (650T),2.68,90
PN-2178-C,Cap Front,MDL-47,Toyota Motor,2,48.7,324.29,44.3,50,PP,PP-Standard,Blue,MLD-441,MC-08 (650T),1.4,120
PN-9764-B,Lever Outer,MDL-39,Samsung,8,19.3,13.19,2.24,100,PC,PC-GP-100,Red,MLD-398,MC-03 (110T),2.79,45
PN-7249-A,Cap Inner,MDL-17,Toyota Motor,1,38.7,278.71,16.38,500,PC,PC-GF-30,Blue,MLD-571,MC-07 (450T),2.37,90
PN-2120-A,Lever Front,MDL-26,Samsung,16,19.8,111.53,11.75,200,POM,POM-GP-100,Natural,MLD-167,MC-04 (150T),0.72,90
PN-5856-B,Cap Outer,MDL-67,Samsung,1,10.1,34.74,3.82,500,PA6,PA6-V0-55,Grey,MLD-748,MC-01 (50T),1.61,90
PN-3056-A,Cap Rear,MDL-79,Yamaha Music,16,51.1,411.37,73.59,1000,PMMA,PMMA-GF-30,Blue,MLD-413,MC-06 (350T),2.2,90
PN-1658-C,Housing Outer,MDL-20,Samsung,2,37.1,216.2,34.57,100,POM,POM-Standard,Black,MLD-535,MC-06 (350T),1.73,90
PN-1691-A,Gear Front,MDL-97,Astra Honda,4,21,142.78,8.1,100,PA6,PA6-GP-100,Black,MLD-228,MC-03 (110T),2.58,120
PN-3688-B,Cover Outer,MDL-66,Samsung,2,37.5,189.36,30.17,500,PP,PP-HI-121,White,MLD-329,MC-03 (110T),0.63,120
PN-9861-A,Cap Outer,MDL-77,Samsung,4,37,227.2,29.84,200,PP,PP-V0-55,Grey,MLD-912,MC-06 (350T),1.15,30
PN-4784-C,Cap Front,MDL-23,Samsung,8,56.5,449.17,82.89,1000,PA6,PA6-Standard,Black,MLD-779,MC-08 (650T),2.6,90
PN-8683-A,Panel Outer,MDL-82,Samsung,16,49.4,319.24,53.6,200,ABS,ABS-GF-30,Natural,MLD-641,MC-07 (450T),1.15,120
PN-6221-B,Cap Rear,MDL-82,Toyota Motor,1,9.7,37.13,3.13,100,PC,PC-V0-55,Red,MLD-882,MC-04 (150T),0.65,90
PN-5618-C,Bracket Front,MDL-53,Yamaha Music,4,36.1,178.45,33.43,50,POM,POM-GP-100,Grey,MLD-930,MC-03 (110T),1.33,120
PN-7083-C,Bracket Rear,MDL-87,Toyota Motor,16,25.5,121.71,22.8,50,PMMA,PMMA-V0-55,Red,MLD-907,MC-03 (110T),2.49,30
PN-1068-C,Panel Front,MDL-25,Yamaha Music,2,49.9,419.49,37.37,1000,PMMA,PMMA-HI-121,White,MLD-578,MC-06 (350T),1.29,90
PN-3670-C,Lever Front,MDL-23,LG Electronics,16,21,39.75,6.96,100,PMMA,PMMA-GP-100,Black,MLD-653,MC-02 (80T),2.83,30
PN-5563-C,Cover Inner,MDL-29,Toyota Motor,16,30.1,244.06,25.88,200,ABS,ABS-GP-100,Blue,MLD-205,MC-08 (650T),2.5,120
PN-9763-B,Lever Outer,MDL-99,Toyota Motor,2,58.4,395.68,57.96,50,PP,PP-V0-55,Black,MLD-398,MC-07 (450T),2.85,120
PN-4779-C,Cap Rear,MDL-89,Astra Honda,1,41,271.25,16.19,500,POM,POM-GP-100,Grey,MLD-373,MC-08 (650T),2.03,120
PN-3596-B,Cap Outer,MDL-11,LG Electronics,2,43.5,248.17,34.08,1000,ABS,ABS-GP-100,White,MLD-395,MC-05 (250T),0.71,30
PN-1769-C,Bracket Inner,MDL-19,LG Electronics,8,29.6,100.49,14.81,200,PP,PP-V0-55,Grey,MLD-134,MC-01 (50T),2.42,30
PN-2760-B,Panel Outer,MDL-76,LG Electronics,4,41.3,243.73,29.39,100,PMMA,PMMA-Standard,White,MLD-122,MC-06 (350T),1.05,90
PN-7355-A,Bracket Outer,MDL-69,LG Electronics,1,20.7,40.69,5.69,500,PMMA,PMMA-HI-121,Black,MLD-850,MC-02 (80T),1.21,60
PN-8832-C,Cap Front,MDL-51,Astra Honda,2,30,194.97,35.71,100,PC,PC-V0-55,Red,MLD-397,MC-03 (110T),2.47,120
PN-2984-A,Lever Front,MDL-48,Toyota Motor,16,20,139.57,25.49,50,PA6,PA6-V0-55,Grey,MLD-146,MC-04 (150T),2.36,120
PN-3954-B,Cover Outer,MDL-29,Toyota Motor,16,18.8,31.24,1.71,50,POM,POM-GP-100,Grey,MLD-543,MC-03 (110T),1.59,90
PN-7841-A,Bracket Outer,MDL-55,LG Electronics,2,57,439.84,75.75,500,PC,PC-GP-100,White,MLD-749,MC-06 (350T),1.19,120
PN-9589-A,Cover Inner,MDL-96,Astra Honda,2,55,400.27,75.88,50,ABS,ABS-HI-121,Black,MLD-416,MC-05 (250T),2.98,45
PN-6034-C,Gear Outer,MDL-98,Toyota Motor,2,42.1,221.29,30.71,50,PC,PC-V0-55,Blue,MLD-125,MC-06 (350T),0.59,90
PN-3505-A,Gear Front,MDL-88,Toyota Motor,4,57.3,442.81,72.45,100,POM,POM-V0-55,Black,MLD-792,MC-07 (450T),0.69,45
PN-2655-A,Cover Rear,MDL-86,Yamaha Music,2,10.7,45.08,5.38,500,PMMA,PMMA-GP-100,Blue,MLD-641,MC-02 (80T),2.07,30
PN-7810-B,Lever Inner,MDL-94,Astra Honda,2,20,140.54,17.69,100,POM,POM-V0-55,Natural,MLD-874,MC-01 (50T),0.6,45
PN-1693-A,Lever Front,MDL-77,Yamaha Music,2,46.7,311.68,40.68,1000,PMMA,PMMA-GP-100,White,MLD-588,MC-08 (650T),2.47,60
PN-2168-A,Gear Inner,MDL-88,Samsung,8,34.1,287.86,56.91,50,ABS,ABS-V0-55,Natural,MLD-877,MC-06 (350T),2.13,120
PN-3567-C,Cap Inner,MDL-85,LG Electronics,8,30.3,131.32,25.64,50,PMMA,PMMA-HI-121,Natural,MLD-119,MC-01 (50T),1.43,30
PN-4409-C,Panel Inner,MDL-85,LG Electronics,16,63.3,451.1,24.79,50,PC,PC-GP-100,White,MLD-242,MC-08 (650T),1.98,120
PN-4032-B,Gear Rear,MDL-93,Samsung,8,41.2,232.07,37.31,1000,ABS,ABS-V0-55,Blue,MLD-628,MC-05 (250T),2.64,60
PN-8624-C,Cap Outer,MDL-69,Yamaha Music,2,46.8,289.32,34.85,500,POM,POM-Standard,Black,MLD-969,MC-08 (650T),1.45,45
PN-3408-B,Cap Rear,MDL-73,Toyota Motor,16,47.7,422.56,57.64,500,ABS,ABS-HI-121,Red,MLD-636,MC-06 (350T),1.74,45
PN-5836-C,Housing Outer,MDL-51,Yamaha Music,1,49.2,358.43,56.54,200,PP,PP-GF-30,Blue,MLD-822,MC-07 (450T),0.98,60
PN-4067-C,Panel Rear,MDL-88,Astra Honda,16,39.2,206.31,40.91,50,PA6,PA6-GP-100,White,MLD-579,MC-06 (350T),2.85,60
PN-7869-A,Cap Inner,MDL-80,Yamaha Music,1,46.9,391.49,74.86,100,POM,POM-HI-121,Grey,MLD-459,MC-07 (450T),2.96,60
PN-6703-B,Cover Inner,MDL-13,Toyota Motor,1,34.4,276.38,42.64,1000,PC,PC-GP-100,Blue,MLD-439,MC-05 (250T),0.85,120
PN-5679-A,Bracket Inner,MDL-40,Toyota Motor,16,33.8,200.59,15.51,50,PA6,PA6-HI-121,Blue,MLD-463,MC-08 (650T),2.01,120
PN-3131-B,Housing Rear,MDL-10,Samsung,16,56.6,452.81,55.63,500,POM,POM-HI-121,Blue,MLD-592,MC-08 (650T),0.72,30
PN-9029-B,Cap Rear,MDL-16,Yamaha Music,1,7.2,14.85,1.82,50,PP,PP-Standard,Natural,MLD-716,MC-03 (110T),2.61,60
PN-3719-A,Housing Front,MDL-57,Astra Honda,1,54.1,347.16,37.61,50,POM,POM-HI-121,Grey,MLD-808,MC-06 (350T),1.61,90
PN-1874-A,Lever Rear,MDL-15,Toyota Motor,16,53.1,334.31,29.27,500,POM,POM-GP-100,Blue,MLD-145,MC-07 (450T),1.48,120
PN-1972-B,Housing Rear,MDL-38,Astra Honda,16,40.3,258.55,34.99,200,PMMA,PMMA-GF-30,Black,MLD-768,MC-07 (450T),2.71,120
PN-9506-B,Cap Rear,MDL-36,Astra Honda,2,18.1,64.15,7.7,50,ABS,ABS-GP-100,Black,MLD-772,MC-03 (110T),1.85,90
PN-4697-B,Cover Inner,MDL-50,Astra Honda,8,33.4,172.38,17.11,200,ABS,ABS-V0-55,Grey,MLD-125,MC-01 (50T),1.89,45
PN-8237-A,Bracket Outer,MDL-36,Yamaha Music,16,48,313.02,46.07,100,PA6,PA6-Standard,Grey,MLD-888,MC-06 (350T),1.86,45
PN-9314-A,Bracket Front,MDL-72,LG Electronics,1,50.7,454.07,54.68,1000,PC,PC-HI-121,Black,MLD-929,MC-08 (650T),1.14,45
PN-8277-A,Panel Rear,MDL-51,Astra Honda,16,28.7,118.77,22.28,200,PA6,PA6-GP-100,Grey,MLD-634,MC-01 (50T),0.54,120
PN-3892-C,Cap Front,MDL-23,LG Electronics,1,50.6,350.01,69.01,200,PC,PC-GF-30,Red,MLD-803,MC-06 (350T),1.01,45
PN-9451-A,Cover Outer,MDL-46,Toyota Motor,4,24.4,158.1,22.32,500,PC,PC-Standard,Blue,MLD-673,MC-04 (150T),1.47,90
PN-5087-B,Housing Front,MDL-30,Samsung,1,63.5,497.78,75.91,500,PA6,PA6-V0-55,Black,MLD-774,MC-06 (350T),1.85,90
PN-6305-C,Cover Inner,MDL-22,Toyota Motor,1,19.4,111.94,21.68,50,ABS,ABS-GP-100,Natural,MLD-975,MC-03 (110T),2.16,60
PN-5222-C,Panel Front,MDL-65,Toyota Motor,4,57.9,419.87,47.49,200,PA6,PA6-GF-30,Red,MLD-867,MC-07 (450T),1.7,90
PN-3228-A,Bracket Outer,MDL-48,Yamaha Music,1,67,494.6,64.1,500,PC,PC-Standard,Natural,MLD-481,MC-08 (650T),1.59,45
PN-9224-A,Gear Inner,MDL-79,Astra Honda,4,26.1,102.12,10.89,1000,PC,PC-GP-100,White,MLD-409,MC-02 (80T),1.95,120
PN-8293-C,Housing Rear,MDL-38,Astra Honda,16,23.7,137.81,12.43,100,PA6,PA6-Standard,Red,MLD-317,MC-02 (80T),2.86,120
PN-9932-C,Housing Outer,MDL-45,Toyota Motor,4,16.9,77.04,8.74,50,PC,PC-V0-55,Blue,MLD-326,MC-04 (150T),2.41,30
PN-2516-A,Panel Rear,MDL-67,LG Electronics,4,42.8,320.68,54.41,50,PC,PC-HI-121,White,MLD-609,MC-06 (350T),0.53,90
PN-7013-A,Housing Outer,MDL-36,Toyota Motor,16,37.8,296.45,34.33,500,PC,PC-GP-100,Red,MLD-635,MC-06 (350T),2.41,90
PN-4571-C,Panel Inner,MDL-56,Astra Honda,16,24.9,182.86,33.47,50,POM,POM-GP-100,Natural,MLD-694,MC-01 (50T),2.26,90
PN-8644-C,Housing Inner,MDL-57,Toyota Motor,8,44.7,339.44,52.35,100,PMMA,PMMA-V0-55,Natural,MLD-673,MC-08 (650T),1.84,30
PN-8216-A,Cap Outer,MDL-59,Toyota Motor,2,58.1,498.86,87.59,1000,POM,POM-GP-100,Red,MLD-868,MC-08 (650T),1.85,90
PN-1312-C,Cap Inner,MDL-12,LG Electronics,1,51.5,457.65,55.97,200,ABS,ABS-V0-55,Blue,MLD-320,MC-08 (650T),1.72,30
PN-1473-C,Cover Outer,MDL-33,Yamaha Music,4,32.4,236.6,39.55,50,PA6,PA6-HI-121,White,MLD-323,MC-07 (450T),1.66,45
PN-8983-C,Gear Front,MDL-66,Samsung,2,38.2,256.51,17.49,200,PP,PP-V0-55,Blue,MLD-767,MC-06 (350T),2.86,30
PN-6264-A,Cover Front,MDL-65,LG Electronics,1,40.3,307.53,15.67,200,ABS,ABS-GP-100,Red,MLD-633,MC-07 (450T),2.16,60
PN-8090-A,Lever Rear,MDL-18,Toyota Motor,16,31.7,217.43,39.64,100,ABS,ABS-HI-121,Grey,MLD-907,MC-07 (450T),2.49,30
PN-8184-A,Lever Inner,MDL-94,Yamaha Music,4,34.9,239.8,38.54,100,POM,POM-V0-55,Natural,MLD-274,MC-05 (250T),2.6,90
PN-4803-C,Panel Outer,MDL-63,Astra Honda,8,21,40.41,2.55,500,PP,PP-HI-121,Grey,MLD-880,MC-02 (80T),2.99,60
PN-8830-A,Panel Inner,MDL-90,Astra Honda,8,34.5,251.87,28.38,1000,PMMA,PMMA-HI-121,Red,MLD-615,MC-07 (450T),2.8,120
PN-5812-A,Lever Front,MDL-46,Yamaha Music,1,25,187.77,14.76,1000,POM,POM-GF-30,Red,MLD-635,MC-02 (80T),2.39,60
PN-7272-A,Housing Rear,MDL-33,LG Electronics,4,63.5,475.97,31.82,500,PMMA,PMMA-HI-121,Black,MLD-698,MC-07 (450T),2.54,60
PN-2663-C,Gear Inner,MDL-80,LG Electronics,16,22,127.21,12.27,200,PP,PP-HI-121,Black,MLD-698,MC-02 (80T),1.13,45
PN-2307-B,Gear Inner,MDL-46,Toyota Motor,8,22.7,70.05,11.73,1000,PC,PC-Standard,Natural,MLD-297,MC-02 (80T),2.89,30
PN-7263-B,Housing Inner,MDL-40,Samsung,8,58.9,444.67,23.62,50,PA6,PA6-GP-100,White,MLD-664,MC-06 (350T),2.22,60
PN-6268-C,Cap Inner,MDL-83,Astra Honda,4,56.9,371.76,50.99,500,ABS,ABS-GP-100,Red,MLD-913,MC-08 (650T),1.03,120
PN-8125-C,Housing Outer,MDL-31,Astra Honda,8,35.4,224.83,33.7,200,POM,POM-GP-100,White,MLD-823,MC-06 (350T),1.55,60
PN-2884-B,Housing Outer,MDL-40,Toyota Motor,1,26.5,160.61,20.93,50,POM,POM-HI-121,Grey,MLD-471,MC-04 (150T),0.97,30
PN-1591-A,Gear Front,MDL-17,LG Electronics,16,44.1,245.96,20.45,500,PA6,PA6-HI-121,Red,MLD-741,MC-08 (650T),2.41,45
PN-1057-C,Cover Front,MDL-79,Toyota Motor,8,24.6,152.02,11.46,1000,PA6,PA6-HI-121,Blue,MLD-551,MC-02 (80T),2.54,120
PN-1259-C,Gear Front,MDL-67,Astra Honda,1,52.5,420.59,57.75,50,ABS,ABS-HI-121,Natural,MLD-208,MC-08 (650T),0.76,120
PN-8381-C,Cover Outer,MDL-94,Toyota Motor,16,30.9,119.96,12.35,200,PMMA,PMMA-GP-100,Red,MLD-482,MC-03 (110T),0.93,30
PN-3751-A,Lever Front,MDL-37,LG Electronics,16,29.8,155.16,17.15,100,PP,PP-Standard,Natural,MLD-694,MC-04 (150T),2.11,90
PN-7414-B,Gear Front,MDL-42,Astra Honda,1,40.2,288.33,44.27,1000,PA6,PA6-GF-30,Blue,MLD-774,MC-06 (350T),2.15,60
PN-7872-B,Gear Front,MDL-52,LG Electronics,4,57.3,431.71,63.19,1000,PA6,PA6-HI-121,Grey,MLD-673,MC-06 (350T),1.35,45
PN-6408-C,Panel Rear,MDL-16,Yamaha Music,4,39,329.91,60.18,200,PA6,PA6-GP-100,Grey,MLD-389,MC-08 (650T),1.35,30
PN-2001-A,Cover Inner,MDL-86,Astra Honda,1,43.2,337.99,39.17,200,POM,POM-HI-121,Red,MLD-340,MC-05 (250T),0.85,60
PN-8718-C,Cover Inner,MDL-57,Astra Honda,1,46.7,300.31,18.35,100,PMMA,PMMA-HI-121,Blue,MLD-670,MC-05 (250T),0.9,30
PN-8188-A,Lever Rear,MDL-97,Astra Honda,8,25.9,200.06,35.13,100,PP,PP-V0-55,White,MLD-183,MC-08 (650T),2.82,60
PN-3829-A,Housing Inner,MDL-78,Astra Honda,1,15.2,94.03,11.2,200,PMMA,PMMA-V0-55,Black,MLD-213,MC-04 (150T),2.91,90
PN-7738-B,Cover Outer,MDL-21,Astra Honda,4,14.6,64.42,3.78,50,ABS,ABS-GP-100,Natural,MLD-212,MC-01 (50T),2.34,120
PN-2446-C,Gear Rear,MDL-98,Samsung,2,34.4,257.48,35.53,200,PC,PC-HI-121,White,MLD-692,MC-05 (250T),1.57,60
PN-2681-A,Housing Rear,MDL-70,LG Electronics,1,23.5,179.5,12.65,500,PP,PP-Standard,Grey,MLD-891,MC-04 (150T),0.89,120
PN-6857-A,Cover Outer,MDL-76,Toyota Motor,1,23.4,138.17,15.3,200,PP,PP-V0-55,Red,MLD-449,MC-01 (50T),2.38,45
PN-8173-A,Lever Front,MDL-18,LG Electronics,1,17.5,90.91,15.32,100,PA6,PA6-GF-30,Grey,MLD-557,MC-04 (150T),1.59,60
PN-7601-B,Housing Rear,MDL-56,Samsung,4,15.2,77.15,4.53,500,PMMA,PMMA-GP-100,Natural,MLD-883,MC-01 (50T),2.49,90
PN-8773-A,Panel Rear,MDL-52,Samsung,2,53.1,399.62,22.94,1000,PC,PC-V0-55,Black,MLD-528,MC-05 (250T),1.88,90
PN-6799-C,Gear Outer,MDL-69,LG Electronics,1,46.1,401.64,40.19,1000,PMMA,PMMA-Standard,White,MLD-571,MC-07 (450T),2.27,30
PN-1691-C,Gear Inner,MDL-36,Toyota Motor,4,43.6,253.3,41.31,100,ABS,ABS-HI-121,Natural,MLD-172,MC-07 (450T),1.8,30
PN-9092-C,Housing Outer,MDL-81,LG Electronics,8,41.8,222.25,34.54,200,POM,POM-Standard,Black,MLD-239,MC-08 (650T),2.92,45
PN-6710-B,Lever Rear,MDL-20,Toyota Motor,2,64.1,483.96,63.16,50,PC,PC-Standard,Red,MLD-416,MC-05 (250T),2.32,45
PN-2675-B,Housing Inner,MDL-79,LG Electronics,1,46.2,281.74,28.04,200,ABS,ABS-GF-30,Blue,MLD-207,MC-07 (450T),1.75,60
PN-3992-A,Cap Outer,MDL-13,Toyota Motor,8,42.8,341.36,22.57,1000,ABS,ABS-GF-30,White,MLD-947,MC-06 (350T),2.78,60
PN-4663-C,Lever Inner,MDL-40,Astra Honda,1,25.4,165.3,25.39,1000,PC,PC-V0-55,Grey,MLD-841,MC-02 (80T),0.93,90
PN-8098-A,Housing Outer,MDL-17,Astra Honda,4,26.8,194.02,32.84,1000,PMMA,PMMA-V0-55,Blue,MLD-439,MC-01 (50T),0.83,90
PN-4263-A,Bracket Outer,MDL-80,Astra Honda,1,29.4,217.12,42.72,50,POM,POM-GP-100,White,MLD-907,MC-08 (650T),1.65,90
PN-3164-B,Cover Inner,MDL-21,Toyota Motor,4,50.1,359.35,25.73,100,ABS,ABS-Standard,Grey,MLD-588,MC-06 (350T),1.2,120
PN-6888-A,Cap Inner,MDL-58,Astra Honda,2,48.5,415.61,24.67,50,PMMA,PMMA-HI-121,Blue,MLD-355,MC-06 (350T),2.11,30
PN-3535-C,Bracket Front,MDL-46,Astra Honda,4,40.7,283.72,20.05,500,ABS,ABS-GF-30,White,MLD-944,MC-06 (350T),0.52,90
PN-9626-A,Cap Front,MDL-91,Yamaha Music,4,47.9,408.99,73.5,1000,PA6,PA6-GP-100,Red,MLD-290,MC-06 (350T),0.69,45
PN-8412-C,Lever Front,MDL-50,Yamaha Music,2,32.5,135.78,22.38,500,PC,PC-HI-121,Blue,MLD-781,MC-01 (50T),1.83,90
PN-9553-A,Cap Front,MDL-79,Astra Honda,8,13.6,49.27,8.46,50,PMMA,PMMA-V0-55,Red,MLD-468,MC-03 (110T),1.27,30
PN-3606-B,Housing Outer,MDL-23,Yamaha Music,1,24.9,50.63,6.02,100,ABS,ABS-V0-55,Red,MLD-979,MC-02 (80T),2.12,90
PN-9221-A,Cover Inner,MDL-23,Toyota Motor,4,7.2,12.28,1.44,1000,PMMA,PMMA-GP-100,Red,MLD-409,MC-01 (50T),1.67,30
PN-7379-A,Housing Inner,MDL-34,Toyota Motor,2,51.2,366.26,56.35,500,PMMA,PMMA-Standard,White,MLD-266,MC-08 (650T),2.31,90
PN-7757-B,Housing Outer,MDL-22,Astra Honda,2,6.7,10.53,1.07,100,PC,PC-HI-121,Red,MLD-627,MC-03 (110T),2.14,30
PN-1689-C,Panel Outer,MDL-12,Astra Honda,16,40.1,349.92,22.28,1000,PA6,PA6-GP-100,Black,MLD-926,MC-08 (650T),1.56,45
PN-6901-C,Bracket Rear,MDL-95,LG Electronics,8,39.2,213.14,17.81,200,PP,PP-HI-121,Natural,MLD-280,MC-05 (250T),2.71,30
PN-7940-A,Panel Rear,MDL-82,Yamaha Music,16,44,383.18,75.76,100,ABS,ABS-HI-121,Blue,MLD-523,MC-05 (250T),1.64,45
PN-2737-B,Housing Rear,MDL-68,Yamaha Music,2,13.9,22.69,1.16,500,PC,PC-V0-55,Red,MLD-937,MC-04 (150T),2.76,60
PN-3494-C,Cap Rear,MDL-59,Samsung,1,58.8,498.61,73.73,100,POM,POM-GF-30,Red,MLD-151,MC-07 (450T),0.55,90
PN-6041-B,Cover Inner,MDL-53,Toyota Motor,2,38.1,191.04,29.32,500,PA6,PA6-GF-30,Black,MLD-532,MC-01 (50T),1.46,90
PN-5316-B,Gear Front,MDL-16,Samsung,1,36.8,265.88,40.22,50,PP,PP-GP-100,Black,MLD-997,MC-08 (650T),1.31,60
PN-9745-A,Cap Inner,MDL-20,LG Electronics,1,42,234.64,34.84,200,POM,POM-Standard,Natural,MLD-832,MC-07 (450T),1.17,120
PN-1841-B,Lever Outer,MDL-25,Yamaha Music,1,34.6,247.37,24.75,1000,PA6,PA6-HI-121,White,MLD-268,MC-08 (650T),2.71,90
PN-6026-B,Lever Inner,MDL-80,Astra Honda,2,8.8,29.9,2.48,50,PP,PP-GF-30,Grey,MLD-371,MC-01 (50T),1.78,120
PN-6596-C,Bracket Front,MDL-61,LG Electronics,16,51.2,418.26,71.27,1000,ABS,ABS-V0-55,Natural,MLD-279,MC-08 (650T),1.83,120
PN-4171-C,Panel Rear,MDL-96,Toyota Motor,4,16.6,21.11,3.33,200,PC,PC-HI-121,Black,MLD-668,MC-03 (110T),0.51,60
PN-4794-B,Panel Outer,MDL-29,Yamaha Music,8,60.9,461.02,68.65,50,POM,POM-HI-121,Grey,MLD-512,MC-08 (650T),1.65,120
PN-7169-A,Bracket Outer,MDL-51,LG Electronics,8,40.9,305.82,42.99,200,PMMA,PMMA-HI-121,Blue,MLD-489,MC-08 (650T),2.51,45
PN-9216-B,Panel Outer,MDL-44,Yamaha Music,1,52.7,438.38,36.07,200,PMMA,PMMA-GP-100,Black,MLD-118,MC-06 (350T),2.09,90
PN-6234-A,Lever Rear,MDL-76,Astra Honda,1,39.6,262.48,35.18,100,PMMA,PMMA-GF-30,Black,MLD-330,MC-08 (650T),1.06,30
